iter	Passed	Remaining
502	2272860	1197431
503	2277406	1192927
504	2282223	1188564
505	2286774	1184061
506	2291237	1179512
507	2295963	1175099
508	2300073	1170371
509	2303894	1165499
510	2308482	1161017
511	2312519	1156259
512	2317292	1151870
513	2322004	1147449
514	2326701	1143020
515	2331205	1138495
516	2335721	1133977
517	2340273	1129475
518	2344298	1124721
519	2348838	1120215
520	2353399	1115719
521	2358064	1111271
522	2362700	1106809
523	2366622	1102014
524	2371242	1097546
525	2375903	1093096
526	2380368	1088555
527	2384847	1084021
528	2389350	1079498
529	2393931	1075010
530	2398353	1070451
531	2402784	1065897
532	2407201	1061336
533	2411805	1056858
534	2415815	1052121
535	2419805	1047378
536	2424291	1042851
537	2429084	1038455
538	2433607	1033944
539	2438083	1029413
540	2442569	1024885
541	2447325	1020471
542	2451913	1015986
543	2455899	1011252
544	2460335	1006705
545	2464994	1002250
546	2469473	997721
547	2473611	993055
548	2478062	988516
549	2482762	984076
550	2487195	979530
551	2491719	975020
552	2496167	970481
553	2500170	965769
554	2504865	961326
555	2508814	956598
556	2513471	952140
557	2518208	947712
558	2522551	943136
559	2527263	938698
560	2531781	934186
561	2535766	929480
562	2540333	924988
563	2544420	920322
564	2548907	915802
565	2553447	911300
566	2557905	906770
567	2562393	902251
568	2566894	897736
569	2571886	893392
570	2575956	888727
571	2580623	884269
572	2585354	879832
573	2589857	875317
574	2594433	870827
575	2599257	866419
576	2603814	861921
577	2608494	857463
578	2613003	852949
579	2617599	848463
580	2621864	843870
581	2625981	839231
582	2630432	834699
583	2635056	830223
584	2639792	825781
585	2644532	821339
586	2649273	816896
587	2653796	812386
588	2658224	807847
589	2662796	803352
590	2667416	798870
591	2672068	794398
592	2676399	789831
593	2681047	785357
594	2685066	780700
595	2689455	776151
596	2693430	771485
597	2697603	766877
598	2702196	762389
599	2706668	757867
600	2711303	753390
601	2716006	748932
602	2720506	744417
603	2725078	739922
604	2729414	735362
605	2733807	730819
606	2738356	726318
607	2742953	721829
608	2747670	717372
609	2752098	712838
610	2755962	708160
611	2760453	703644
612	2764922	699124
613	2768995	694503
614	2773770	690059
615	2778335	685563
616	2782351	680932
617	2786975	676450
618	2791866	672032
619	2796358	667517
620	2801064	663053
621	2805775	658590
622	2810707	654177
623	2815190	649659
624	2819638	645133
625	2824232	640640
626	2828967	636179
627	2833683	631712
628	2838475	627262
629	2843351	622829
630	2847680	618276
631	2852481	613825
632	2857137	609342
633	2861778	604855
634	2866158	600313
635	2870721	595810
636	2875111	591271
637	2879636	586759
638	2884440	582304
639	2888876	577775
640	2893542	573291
641	2898028	568772
642	2902774	564302
643	2907235	559778
644	2911666	555248
645	2915754	550653
646	2920369	546158
647	2925026	541671
648	2929743	537194
649	2934395	532705
650	2939019	528210
651	2943477	523686
652	2948080	519187
653	2952654	514682
654	2957132	510161
655	2961914	505692
656	2966645	501214
657	2971168	496699
658	2975622	492174
659	2980022	487640
660	2984501	483118
661	2989144	478624
662	2993269	474047
663	2997827	469539
664	3002241	465008
665	3006887	460514
666	3011590	456027
667	3015950	451489
668	3020543	446986
669	3025144	442483
670	3029735	437979
671	3034246	433463
672	3039085	428994
673	3043871	424516
674	3048296	419987
675	3053151	415517
676	3057982	411043
677	3062764	406561
678	3067551	402079
679	3072372	397601
680	3076996	393096
681	3081821	388616
682	3086832	384159
683	3091263	379628
684	3095337	375055
685	3100066	370561
686	3104605	366045
